"id","fk_author","fk_article"
"1011","298","290"
"1012","468","291"
"1013","349","291"
"1014","347","292"
"1015","298","292"
"1016","469","293"
"1017","470","293"
"1018","394","293"
"1019","471","294"
"1020","349","294"
"1021","359","295"
"1022","367","295"
"1023","380","295"
"1024","467","296"
"1025","350","296"
"1026","467","298"
"1027","350","298"
"1028","472","297"
"1029","473","297"
"1030","348","299"
"1031","349","299"
"1032","474","300"
"1033","475","300"
"1034","467","301"
"1035","350","301"
"1036","467","302"
"1037","350","302"
"1038","467","306"
"1039","350","306"
"1040","476","304"
"1041","477","304"
"1042","478","305"
"1043","479","305"
"1044","480","308"
"1045","481","308"
"1046","482","308"
"1047","483","308"
"1048","484","310"
"1049","485","310"
"1050","406","311"
"1051","350","311"
"1052","486","313"
"1053","380","313"
"1054","487","317"
"1055","335","317"
"1056","487","390"
"1057","335","390"
"1058","488","318"
"1059","358","318"
"1060","489","319"
"1061","490","319"
"1062","366","321"
"1063","380","321"
"1064","366","442"
"1065","380","442"
"1066","440","322"
"1067","380","322"
"1068","440","323"
"1069","380","323"
"1070","440","327"
"1071","380","327"
"1072","440","330"
"1073","380","330"
"1074","440","332"
"1075","380","332"
"1076","491","325"
"1077","335","325"
"1078","492","326"
"1079","358","326"
"1080","493","331"
"1081","398","331"
"1082","493","333"
"1083","398","333"
"1084","494","335"
"1085","493","336"
"1086","398","336"
"1087","495","337"
"1088","496","337"
"1089","497","339"
"1090","335","339"
"1091","492","339"
"1092","358","339"
"1093","497","340"
"1094","335","340"
"1095","447","341"
"1096","335","341"
"1097","371","342"
"1098","434","342"
"1099","498","343"
"1100","499","344"
"1101","500","345"
"1102","501","345"
"1103","340","345"
"1104","478","345"
"1105","502","346"
"1106","503","347"
"1107","504","348"
"1108","366","349"
"1109","359","349"
"1110","380","349"
"1111","440","351"
"1112","303","352"
"1113","505","352"
"1114","506","353"
"1115","507","353"
"1116","416","355"
"1117","508","355"
"1118","380","355"
"1119","285","356"
"1120","335","356"
"1121","285","416"
"1122","335","416"
"1123","319","358"
"1124","380","358"
"1125","433","362"
"1126","318","362"
"1127","373","363"
"1128","380","363"
"1129","509","364"
"1130","414","364"
"1131","380","364"
"1132","510","365"
"1133","380","365"
"1134","347","366"
"1135","318","366"
"1136","355","367"
"1137","356","367"
"1138","392","368"
"1139","393","368"
"1140","511","369"
"1141","333","369"
"1142","512","370"
"1143","513","370"
"1144","514","370"
"1145","327","371"
"1146","329","371"
"1147","328","371"
"1148","335","371"
"1149","301","372"
"1150","298","372"
"1151","515","373"
"1152","335","373"
"1153","304","375"
"1154","280","375"
"1155","348","376"
"1156","349","376"
"1157","478","377"
"1158","516","377"
"1159","478","392"
"1160","516","392"
"1161","467","378"
"1162","350","378"
"1163","348","381"
"1164","349","381"
"1165","508","382"
"1166","517","382"
"1167","297","384"
"1168","518","384"
